2_bedroom,3_bedroom,4_bedroom,5_bedroom,avg-price-by-meter,Points,Real Estate Ownership,Date,$ to egp,avg-price-by-$,gold to egp,avg-price-by-gold
13239.69359,14725.68167,14995.57704,16057.59417,14754.63662,2664.666667,38064598.33,1\1\2017,18.11,814.7231706,634,23.27229751
12982.95957,14602.63344,14830.4213,16024.40049,14610.1037,2522,38064598.33,4\1\2017,17.87,817.5771517,631,23.15388859
13927.11692,15055.15191,15437.79308,16146.47258,15141.63363,3046.666667,38064598.33,7\1\2017,17.85,848.2707916,631,23.99624981
13907.18519,15064.39523,12014.33654,19705.62125,15172.88455,2926.5,29389762.49,12\1\2017,17.77,853.8483146,634,23.93199456
13844.03827,15015.33374,15384.349,16135.73117,15094.86305,3000.5,38064598.33,1\1\2018,17.65,855.233034,648,23.29454174
14287.02443,15227.64943,15669.31981,16193.00578,15344.24986,3246.666667,38064598.33,4\1\2018,17.8,862.036509,648,23.67939793
14213.84323,15192.57493,15622.24271,16183.54403,15303.05123,3206,38064598.33,7\1\2018,17.85,857.3137944,648,23.6158198
13433.15129,14824.97944,13926.64713,17328.85377,14878.40791,2734,35029275.15,12\1\2018,17.87,832.5913772,648,22.96050603
13017.75063,14619.3082,14852.80222,16028.8987,14629.68994,2541.333333,38064598.33,1\1\2019,17.38,841.7543119,667,21.93356813
13290.68049,14750.11882,15028.37666,16064.18638,14783.34058,2693,38064598.33,4\1\2019,16.65,887.8883231,667,22.16392891
14135.86327,15155.20047,15572.07859,16173.46184,15259.15104,3162.666667,38064598.33,7\1\2019,16.3,936.1442356,667,22.87728792
13416.93955,14802.44759,16594.7968,14529.51808,14835.9255,2810.666667,41842150.96,12\1\2019,16.01,926.6661774,667,22.24276687
12979.96034,14601.19596,14828.49192,16024.01272,14608.41523,2520.333333,38064598.33,1\1\2020,15.7,930.4723076,778,18.77688333
12455.69508,14349.92459,14491.23465,15956.22936,14313.27092,2229,38064598.33,4\1\2020,15.75,908.779106,778,18.39752046
12936.1716,14580.20877,14800.32283,16018.35118,14583.76359,2496,38064598.33,7\1\2020,15.7,928.9021395,778,18.74519742
11241,12730,12382,10828,11795.25,2610.333333,45997204.73,12\1\2020,15.73,749.8569612,778,15.16098972
12983.55942,14602.92094,14830.80718,16024.47805,14610.4414,2522.333333,38064598.33,1\1\2021,15.7,930.6013631,824,17.7311182
12955.36666,14589.40863,14812.67092,16020.83295,14594.56979,2506.666667,38064598.33,4\1\2021,15.65,932.56037,824,17.71185654
13305.97656,14757.44996,15038.21654,16066.16404,14791.95177,2701.5,38064598.33,7\1\2021,15.7,942.1625331,824,17.95139778
10479,13655,13404,15565,13275.75,2557.333333,38476845.19,12\1\2021,15.71,845.050923,824,16.11134709
13004.55402,14612.98329,14844.31291,16027.19248,14622.26068,2534,38064598.33,1\1\2022,15.7,931.3541834,1224,11.94629141
13349.16546,14778.14966,15065.99975,16071.74802,14816.26572,2725.5,38064598.33,4\1\2022,18.19,814.528077,1224,12.10479225
13300.57794,14754.8625,15034.74364,16065.46604,14788.91253,2698.5,38064598.33,7\1\2022,19.16,771.8639108,1224,12.08244488
14344,14700,14740,16030,14953.5,3056,37760311.79,12\1\2022,24.75,604.1818182,1638,9.129120879
13993,14270,15412,14473,14537,3473,41135267.97,1\1\2023,30.18,481.676607,3281,4.430661384
14853.2789,15499.04551,16033.58853,16266.21802,15663.03274,3561.333333,38064598.33,4\1\2023,30.5,513.542057,3281,4.773859415
15563,15790,15283,16098,15683.5,3848,37632438.84,7\1\2023,30.7,510.8631922,3281,4.780097531
16882,16187,15457,16996,16380.5,4434,35922034.11,12\1\2023,30.92,529.7703752,3281,4.992532764
17998,17540,19871,17044,18113.25,4965,38609265.15,1\1\2024,30.79,588.2835336,3830,4.729308094
17586.17654,16808.87661,17791.64814,16619.5601,17201.56535,5080,38064598.33,4\1\2024,49.47,347.7171083,3830,4.491270326
21708,20724,27014,20276,22430.5,5526,36916025.27,7\1\2024,49.5,453.1414141,3540,6.336299435
18295.19433,17148.6967,18247.75579,16711.2305,17600.71933,5474,38064598.33,12\1\2024,49.6,354.8532123,3540,4.971954613
