District,AvgPricePerMeter
Abu talat,5038.419685
Al asafra,13604.78258
Bakoos,7107.621262
Bolekly,19766.32133
Borg el arab,12966.10953
Camp cesar,29849.88193
Chatby,35935.1873
Cleopatra,24502.66398
El amreya,11890.26804
El hanouvel,4365.105159
El mamoura,13580.94816
El mandara,14588.38988
Fleming,15623.51015
Ganaklis,17394.45162
Glim,26197.75199
Kafr-abdo,27405.71863
King maryot,39908.72114
Lauren,26370.26495
Mansheya,10705.38628
Miami,17848.82492
Moharram bey,13921.49217
Montazah,20476.0633
Roshdy,30189.81376
Saba basha,28154.74327
San stefano,42402.4789
Sidi gaber,21327.15049
Sidi bishr,14504.78258
Smouha,36916.81405
Sporting,26331.57218
Stanley,33195.27064
Zezenia,20834.51564
