Area,Bedrooms No.,2020,2021,2022,2023,2024
alexandria-compounds,1,"EGP 26,758","EGP 29,903","EGP 30,370","EGP 39,265","EGP 52,346"
alexandria-compounds,2,"EGP 18,949","EGP 19,630","EGP 20,878","EGP 22,648","EGP 36,368"
alexandria-compounds,3,"EGP 21,658","EGP 20,910","EGP 20,743","EGP 24,576","EGP 33,316"
alexandria-compounds,4,N.A.,"EGP 21,695","EGP 21,543","EGP 26,526","EGP 45,790"
alexandria-compounds,5,N.A.,"EGP 21,527","EGP 20,052","EGP 19,665","EGP 19,665"
alexandria-compounds,6,N.A.,"EGP 20,339","EGP 20,353","EGP 20,367","EGP 20,367"
hay-al-agami,2,"EGP 2,650","EGP 2,662","EGP 4,716","EGP 6,452","EGP 6,731"
hay-al-agami,3,"EGP 7,454","EGP 8,768","EGP 8,768","EGP 9,206","EGP 12,273"
hay-al-amereyah,2,"EGP 10,385","EGP 4,428","EGP 14,665","EGP 20,906","EGP 23,167"
hay-al-amereyah,3,"EGP 7,638","EGP 11,954","EGP 14,737","EGP 13,875","EGP 16,116"
hay-al-amereyah,4,N.A.,"EGP 12,075","EGP 15,473","EGP 17,498","EGP 17,498"
hay-al-amereyah,5,N.A.,N.A.,N.A.,"EGP 14,797","EGP 15,584"
hay-awal-el-montazah,2,"EGP 8,769","EGP 8,965","EGP 10,850","EGP 11,083","EGP 14,843"
hay-awal-el-montazah,3,"EGP 8,302","EGP 8,100","EGP 10,172","EGP 10,345","EGP 14,705"
hay-awal-el-montazah,4,"EGP 8,503","EGP 8,094","EGP 7,256","EGP 8,862","EGP 15,782"
hay-awal-el-montazah,5,"EGP 10,952","EGP 8,842","EGP 8,853","EGP 8,883","EGP 9,321"
hay-el-gomrok,2,N.A.,"EGP 8,784","EGP 15,175","EGP 17,884","EGP 24,826"
hay-el-gomrok,4,N.A.,"EGP 7,500","EGP 7,500","EGP 7,500","EGP 7,500"
hay-gharb,3,"EGP 19,732","EGP 20,918","EGP 20,918","EGP 20,918","EGP 20,918"
Hay Sharq,1,N.A.,"EGP 14,780","EGP 15,436","EGP 15,138","EGP 14,697"
Hay Sharq,2,"EGP 12,336","EGP 12,368","EGP 12,951","EGP 14,537","EGP 20,205"
Hay Sharq,3,"EGP 12,917","EGP 13,263","EGP 14,075","EGP 16,587","EGP 22,249"
Hay Sharq,4,"EGP 15,195","EGP 16,361","EGP 15,340","EGP 17,060","EGP 21,940"
Hay Sharq,5,"EGP 10,735","EGP 12,831","EGP 17,465","EGP 23,505","EGP 23,865"
Hay Sharq,6,"EGP 14,519","EGP 16,236","EGP 21,734","EGP 25,311","EGP 35,861"
Hay Sharq,7,"EGP 18,182","EGP 20,709","EGP 22,895","EGP 22,917","EGP 22,917"
hay-than-el-montazah,2,"EGP 13,646","EGP 14,009","EGP 13,844","EGP 12,827","EGP 16,280"
hay-than-el-montazah,3,"EGP 9,490","EGP 11,640","EGP 10,107","EGP 11,142","EGP 15,752"
hay-than-el-montazah,4,"EGP 9,391","EGP 9,966","EGP 12,932","EGP 9,387","EGP 35,067"
hay-than-el-montazah,5,N.A.,"EGP 18,333","EGP 18,333","EGP 18,333","EGP 18,333"
hay-wasat,2,"EGP 11,951","EGP 12,985","EGP 13,245","EGP 17,037","EGP 19,777"
hay-wasat,3,"EGP 14,648","EGP 13,683","EGP 14,908","EGP 16,162","EGP 20,532"
hay-wasat,4,"EGP 16,439","EGP 18,134","EGP 16,777","EGP 20,900","EGP 26,431"
hay-wasat,5,"EGP 10,797","EGP 16,292","EGP 13,142","EGP 9,896","EGP 26,107"
hay-wasat,6,N.A.,"EGP 22,000","EGP 22,000","EGP 22,000","EGP 22,000"
