,EGY-GDP's Real Estate Activitie,Date,Domestic Liquidity,Money Supply,Alexandria's Real Estate Ownership,Alexandria's GDP,Aqarmap's Index,Inflation Rate (Core)
0,91939.0,2017Q1,2690881.6666666665,629138.0,,,2664.6666666666665,41.61299954999999
1,85056.53,2017Q2,2850788.3333333335,681957.0,,,2522.0,16.530516357999996
2,99464.13,2017Q3,2998358.0,718525.0,,,3046.6666666666665,4.896859759999999
3,109395.07,2017Q4,3143779.3333333335,729902.3333333334,29389762.49,322802919.6,2926.5,1.4794487899999997
4,122774.83,2018Q1,3297542.3333333335,751369.6666666666,,,3000.5,1.7680630119999998
5,110275.58,2018Q2,3411714.0,800128.6666666666,,,3246.6666666666665,12.940518499999998
6,115347.64,2018Q3,3510292.3333333335,830928.3333333334,,,3206.0,1.34254592
7,130243.82,2018Q4,3591213.3333333335,830941.3333333334,35029275.15,411564653.0,2734.0,1.7913749120000002
8,143879.37,2019Q1,3679827.3333333335,845190.6666666666,,,2541.3333333333335,3.0556557370000004
9,132959.32,2019Q2,3807644.3333333335,904667.3333333334,,,2693.0,2.885302376
10,137780.22,2019Q3,3941569.3333333335,942225.0,,,3162.6666666666665,-1.89531568
11,154793.38,2019Q4,4062560.3333333335,961010.6666666666,41842150.96,522191035.3,2810.6666666666665,1.2138386149999998
12,169295.33,2020Q1,4201263.666666667,1007605.3333333334,,,2520.3333333333335,2.0038966719999998
13,150795.73,2020Q2,4447769.0,1078859.0,,,2229.0,0.7379616499999995
14,158690.09,2020Q3,4688827.0,1126562.0,,,2496.0,-0.27423051200000004
15,180674.08,2020Q4,4857452.666666667,1139646.0,45997204.73,565875824.5,2610.3333333333335,1.7121329599999995
16,187518.87,2021Q1,5038184.0,1162447.3333333333,,,2522.3333333333335,1.7875567280000002
17,173340.77,2021Q2,5265997.0,1226166.0,,,2506.6666666666665,1.4824739500000002
18,174499.41,2021Q3,5496818.666666667,1307925.0,,,2701.5,0.5700838879999999
19,190421.2,2021Q4,5738228.333333333,1363429.0,,,2557.3333333333335,4.5425231749999995
20,206389.0,2022Q1,6035304.666666667,1416633.3333333333,,,2534.0,15.093626883999999
21,192316.22,2022Q2,6510442.0,1507049.6666666667,,,2725.5,18.341880487999997
22,193138.07,2022Q3,6822310.666666667,1624707.3333333333,,,2698.5,9.19916914
23,223242.56,2022Q4,7300471.0,1699175.3333333333,,,3056.0,50.840724247999994
24,240987.6,2023Q1,7833051.666666667,1727897.6666666667,,,3473.0,235.24699760000001
25,234770.7,2023Q2,8152624.0,1980311.3333333333,,,3561.3333333333335,27.239093960000005
26,242714.5,2023Q3,8453993.0,2136003.0,,,3848.0,5.5159262
27,271058.4,2023Q4,8782600.0,2323706.0,,,4434.0,11.829748399999998
28,283446.41,2024Q1,,,,,4965.0,110.41539387200001
29,273429.53,2024Q2,,,,,5080.0,-0.36363750400000006
30,277045.69,2024Q3,,,,,5526.0,0.9392015599999999
31,277045.69,2024Q3,,,,,5526.0,0.9392015599999999
32,300489.76,2024Q4,,,,,5474.0,5.2461966
