,Date,EGY-GDP's Real Estate Activitie,Domestic Liquidity,Money Supply,Aqarmap's Index,Inflation Rate (Core)
0,2025Q1,309839.9246376337,11900933.637347255,2880915.6266103373,5780.508144057922,4.525621244000623
1,2025Q2,296052.8657051299,12395457.258520162,2985796.0922007905,5933.310896734007,0.229423225094469
2,2025Q3,297689.7176603596,12891233.39526654,3093869.8569357377,6208.4128911105445,0.03563642852195459
3,2025Q4,320143.53621144494,13387714.71930738,3203015.220238875,6299.511796765555,0.5526422477853259
4,2026Q1,330283.18929270434,13884593.075633325,3312520.1876502987,6523.073766353256,4.148445445621519
5,2026Q2,317104.85196199146,14381694.967800962,3422145.8300220435,6689.844035604794,-0.1477525732846363
6,2026Q3,319211.0483281225,14878922.714400077,3531811.9681659807,6901.801931806501,-0.3415393698571507
7,2026Q4,342026.7468837883,15376221.319156893,3641491.695770076,7045.773609817318,0.17546644940622058
8,2027Q1,352445.4213716597,15873559.818246026,3751175.9836879377,7238.688285629607,3.7712696472424128
9,2027Q2,339482.2187385325,16370920.77851398,3860861.801943385,7410.61933036639,-0.5249283716637416
10,2027Q3,341754.2910446757,16868294.384802677,3970548.133745322,7599.24648540604,-0.718715168236256
11,2027Q4,364697.8854153063,17365675.111013345,4080234.637881781,7762.753812860109,-0.20170934897288473
