,Price Per Meter,Points,Real Estate Ownership,Core (m/m),Date
0,13815.474686491523,2664.6666666666665,38064598.592869036,2.858,2017Q1
1,13506.873784368787,2522.0,38064598.94420575,1.6273333333333333,2017Q2
2,14641.841815095318,3046.6666666666665,38064597.65206701,1.0896666666666668,2017Q3
3,15866.93571777567,2926.5,29389762.49,0.5479999999999999,2017Q4
4,14541.982695916196,3000.5,38064597.765755005,0.421,2018Q1
5,15074.478292469441,3246.6666666666665,38064597.15951865,1.4163333333333334,2018Q2
6,14986.521804456459,3206.0,38064597.25965591,0.36666666666666664,2018Q3
7,14485.100527974797,2734.0,35029275.15,0.4693333333333333,2018Q4
8,13548.709046063239,2541.3333333333335,38064598.89657761,0.6143333333333333,2019Q1
9,13876.794820821984,2693.0,38064598.52305835,0.6253333333333334,2019Q2
10,14892.798789043636,3162.6666666666665,38064597.366358325,-0.8363333333333333,2019Q3
11,13484.661425435641,2810.6666666666665,41842150.96,0.395,2019Q4
12,13503.283868815799,2520.3333333333335,38064598.94829337,0.4543333333333333,2020Q1
13,12873.072277847066,2229.0,38064599.665777065,0.3173333333333333,2020Q2
14,13450.653074531681,2496.0,38064599.008212775,-0.09066666666666667,2020Q3
15,12340.0,2610.3333333333335,45997204.73,0.5713333333333334,2020Q4
16,13507.610828818062,2522.3333333333335,38064598.943367235,0.4123333333333334,2021Q1
17,13473.721147771528,2506.6666666666665,38064598.98194999,0.37333333333333335,2021Q2
18,13895.187265204488,2701.5,38064598.5021191,0.229,2021Q3
19,14526.0,2557.3333333333335,38064597.8185347,0.9283333333333333,2021Q4
20,13532.83138917884,2534.0,38064598.914653495,1.6913333333333334,2022Q1
21,13947.08443387767,2725.5,38064598.44303445,1.729,2022Q2
22,13888.684644493731,2698.5,38064598.50952172,1.2183333333333335,2022Q3
23,14953.5,3056.0,38064597.30794324,2.732333333333333,2022Q4
24,14537.0,3473.0,38064597.73374689,5.659,2023Q1
25,15755.15758781938,3561.3333333333335,38064596.3845782,2.0896666666666666,2023Q2
26,15683.5,3848.0,38064596.44077999,0.919,2023Q3
27,16380.5,4434.0,38064595.62632425,1.3646666666666665,2023Q4
28,18113.25,4965.0,38064593.67505039,5.630666666666667,2024Q1
29,19040.367055688286,5080.0,38064592.64443208,0.27466666666666667,2024Q2
30,22430.5,5526.0,38064588.87380962,0.47,2024Q3
31,19892.661661685055,5474.0,38064591.67411099,0.8614999999999999,2024Q4
