,Date,Aqarmap Index,Alexandria's Real Estate Ownership (GDP) (Thousands EGP),Inflation Rate,Domestic Liquidity,Money Supply,Egypt's Real Estate Activities (GDP) (Millions EGP)
0,2017Q1,2664.6666666666665,38064598.59286904,2.858,2690881.6666666665,629138.0,91939.0
1,2017Q2,2522.0,38064598.94420575,1.6273333333333333,2850788.3333333335,681957.0,85056.53
2,2017Q3,3046.6666666666665,38064597.65206701,1.0896666666666668,2998358.0,718525.0,99464.13
3,2017Q4,2926.5,29389762.49,0.5479999999999999,3143779.3333333335,729902.3333333334,109395.07
4,2018Q1,3000.5,38064597.765755005,0.421,3297542.3333333335,751369.6666666666,122774.83
5,2018Q2,3246.6666666666665,38064597.15951865,1.4163333333333334,3411714.0,800128.6666666666,110275.58
6,2018Q3,3206.0,38064597.25965591,0.3666666666666666,3510292.3333333335,830928.3333333334,115347.64
7,2018Q4,2734.0,35029275.15,0.4693333333333333,3591213.3333333335,830941.3333333334,130243.82
8,2019Q1,2541.333333333333,38064598.89657761,0.6143333333333333,3679827.3333333335,845190.6666666666,143879.37
9,2019Q2,2693.0,38064598.52305835,0.6253333333333334,3807644.3333333335,904667.3333333334,132959.32
10,2019Q3,3162.6666666666665,38064597.366358325,-0.8363333333333333,3941569.3333333335,942225.0,137780.22
11,2019Q4,2810.6666666666665,41842150.96,0.395,4062560.3333333335,961010.6666666666,154793.38
12,2020Q1,2520.333333333333,38064598.94829337,0.4543333333333333,4201263.666666667,1007605.3333333334,169295.33
13,2020Q2,2229.0,38064599.665777065,0.3173333333333333,4447769.0,1078859.0,150795.73
14,2020Q3,2496.0,38064599.008212775,-0.0906666666666666,4688827.0,1126562.0,158690.09
15,2020Q4,2610.333333333333,45997204.73,0.5713333333333334,4857452.666666667,1139646.0,180674.08
16,2021Q1,2522.333333333333,38064598.94336724,0.4123333333333334,5038184.0,1162447.3333333333,187518.87
17,2021Q2,2506.6666666666665,38064598.98194999,0.3733333333333333,5265997.0,1226166.0,173340.77
18,2021Q3,2701.5,38064598.5021191,0.229,5496818.666666667,1307925.0,174499.41
19,2021Q4,2557.333333333333,38064597.8185347,0.9283333333333332,5738228.333333333,1363429.0,190421.2
20,2022Q1,2534.0,38064598.914653495,1.6913333333333334,6035304.666666667,1416633.3333333333,206389.0
21,2022Q2,2725.5,38064598.44303445,1.729,6510442.0,1507049.6666666667,192316.22
22,2022Q3,2698.5,38064598.50952172,1.2183333333333335,6822310.666666667,1624707.3333333333,193138.07
23,2022Q4,3056.0,38064597.30794324,2.732333333333333,7300471.0,1699175.3333333333,223242.56
24,2023Q1,3473.0,38064597.73374689,5.659,7833051.666666667,1727897.6666666667,240987.6
25,2023Q2,3561.333333333333,38064596.3845782,2.0896666666666666,8152624.0,1980311.3333333333,234770.7
26,2023Q3,3848.0,38064596.44077999,0.919,8453993.0,2136003.0,242714.5
27,2023Q4,4434.0,38064595.62632425,1.3646666666666665,8782600.0,2323706.0,271058.4
28,2024Q1,4965.0,38064593.67505039,5.630666666666667,8395139.583367005,2036155.776359527,283446.41
29,2024Q2,5080.0,38064592.64443208,0.2746666666666666,8106854.419588586,1964257.6625549756,273429.53
30,2024Q3,5526.0,38064588.87380962,0.47,8203404.982555927,1988353.3994153216,277045.69
31,2024Q4,5474.0,38064591.67411099,0.8614999999999999,8878547.272312837,2156732.454842768,300489.76
